Ward Number,Ward Name,Direction,Description
1,Ward 1,North,"Starts from S.F. No. 204 Of Thudiyalur Village, Udayakumar Thottam towards North East Johnbosco Nagar, Saravana Nagar, crossing Eashwar Sakthi Nagar, Palanigoundenpudur Road, S.F. No. 206 Soundararajan Thottam via Mullai Nagar, Suruthi Avenue, Eashwara Nagar Boundary via towards South Chettiar Thottam, Sowdambika Nagar Pallam via Mettupalayam Road Junction, then towards South Vellakinar Road via, towards East including Ambika Nagar ,manis Nagar, Anna Colony Entrance, Thudiyalur Ward Office, Vellakinar Road Southern Side via upto Thudiyalur Railway Gate."
1,Ward 1,East,"Starts from Vellakinar Road Thudiyalur Railway Gate towards South, V.P.V. Nagar, Viswanathapuram Boundary upto Chinnavedampatti Canal, towards West abutting Canal upto Mettupalayam Road Junction, In Mettupalayam Road West Side towards South uptoV.K.L. Nagar Road."
2,Ward 2,North,"Starts from Mettupalayam Road Thudiyalur Police Station. Northern Side, SS Kalyana Mandapam Road via, towards East Thudiyalaur Modem Crematorium, towards North Crossing ldikarai Road, TNP Nagar Northern Boundary via, towards East New Muthu Nagar Boundary, Coimbatore Mtp Railway Track, Crossing Northern Boundary, towards East TNHB Phase 11, Phase Ill via Kurudampalayam ldikarai Junction. towards East Vattamalaipalayall’) Ganga Nursing College, Ramakrishna College Road, upto Chinnarayan Temple."
2,Ward 2,East,"Starts from Northern Boundary Ramakrishna College Backside Road via upto Panchayat Union School (including School), towards South then towards East Coimbatore Public School Road via then towards South upto Thudiyalur Saravanampatti Road Junction."
2,Ward 2,South,"Starts from Thudiyalur Saravanampatti R and Coimbatore Public School Road Junction, towards West Donbosco Puram via including Martin Nandavanam Apartment. Assisi Nagar via towards South including Brilliant School, Peria Thottam. there onwards West upto Vellakinar N.G. Pudur Road Junction."
3,Ward 3,North,"Starts from Thudiyalur Saravanampatti R and Coimbatore Public School Road Junction, towards West Donbosco Puram via including Martin Nandavanam Apartment. Assisi Nagar via towards South including Brilliant School, Peria Thottam. there onwards West upto Vellakinar N.G. Pudur Road Junction."
3,Ward 3,East,"Starts from S.F.No. 454 Northeast Boundary, towards South upto S.F. No. 454, 455’s Southeast Village Boundary, there onwardsWest Saravanampatti Village Boundary via"
3,Ward 3,East,"S.F. No. 456 Southeast Boundary, there onwardsSouth Saravanampatti Village Boundary via upto S.F. No. 463 Southeast Boundary, there onwardsWest Saravanmnpatti Village Boundary via S.F. No. 466 Southeast Boundary, there onwards South Sarvanampatti Village Boundary via upto Velappanayakanpudur. there onwards East Village Boundary via S.F. No. 632 Northeast Boundary, there onwardsEast Village Border via S.F. No. 637 Northeast Boundary, there onwards Village Boundary Saravanmpatti onwards Thudiyalur Road, Kumaraguru College Of Technology including, S.F. No. 593 Northeast Boundary onwardsSouth Village Boundary, there onwardsWest S.F. No. 596 Southeast, towards South Tangedco Office, there onwards including Teachers Colony. KurinJi Nagar, there onwards S.F. No. 614 Southeast Area, there onwardsSouth Village Boundary via Sakthi Nagar Southeast Boundary, towards South upto Ramakrishna Mill Northern Boundary, there onwardsWest Athipalayam Main Road Maniyakaranpalayam Road Junction."
3,Ward 3,South,"Starts from S.F.No. 454 Northeast Boundary, towards South upto S.F. No. 454, 455’s Southeast Village Boundary, there onwardsWest Saravanampatti Village Boundary viaS.F. No. 456 Southeast Boundary, there onwardsSouth Saravanampatti Village Boundary via upto S.F. No. 463 Southeast Boundary, there onwardsWest Saravanmnpatti Village Boundary via S.F. No. 466 Southeast Boundary, there onwards South Sarvanampatti Village Boundary via upto Velappanayakanpudur. there onwards East Village Boundary via S.F. No. 632 Northeast Boundary, there onwardsEast Village Border via S.F. No. 637 Northeast Boundary, there onwards Village Boundary Saravanmpatti onwards Thudiyalur Road, Kumaraguru College Of Technology including, S.F. No. 593 Northeast Boundary onwardsSouth Village Boundary, there onwardsWest S.F. No. 596 Southeast, towards South Tangedco Office, there onwards including Teachers Colony. KurinJi Nagar, there onwards S.F. No. 614 Southeast Area, there onwardsSouth Village Boundary via Sakthi Nagar Southeast Boundary, towards South upto Ramakrishna Mill Northern Boundary, there onwardsWest Athipalayam Main Road Maniyakaranpalayam Road Junction."
4,Ward 4,North,"Starts from Thudiyalur Road 2 Kms awayiln Keeranatham Road lead to Special Economic Zone and Sathy Road Keeranatham Road,including VKV Kumaraguru Nagar, Corporation Elementary School, Kandasami Nagar upto Sathy Road."
4,Ward 4,East,"Starts from Sathy Road towards South, Viswasapuram Antony’s Church via including Revenue Nagar, Siva Elango Nagar, Maha Nagar, upto K.G. Lay Out"
4,Ward 4,South,"Starts from K.G. Lay Out towards West. including Jaya Nagar upto Jaya Nagar Western Boundary, there onwardsNorth, Boyar Street Eastern Boundary via Sathy Road Upa Sandhu Southern Boundary via towards West upto Sathy Road, there onwardsSouth, upto Saravanampatti Check Post, towards West, including Sri Ram Nagar, Ramanandha Nagar Northern Boundary via upto Southnorth Canal. there onwardsSri Nagar Southern Boundary via iin<;luding Meenatchi Nagar, towards West Chinnavedampatti Village Boundary."
4,Ward 4,West,"Starts from K.G. Lay Out towards West. including Jaya Nagar upto Jaya Nagar Western Boundary, there onwardsNorth, Boyar Street Eastern Boundary via Sathy Road Upa Sandhu Southern Boundary via towards West upto Sathy Road, there onwardsSouth, upto Saravanampatti Check Post, towards West, including Sri Ram Nagar, Ramanandha Nagar Northern Boundary via upto Southnorth Canal. there onwardsSri Nagar Southern Boundary via iin<;luding Meenatchi Nagar, towards West Chinnavedampatti Village Boundary."
5,Ward 5,North,Starts from from Ragavi Garden towards East VKV Nagar along Sathy Main Road via Valiyampalayam upto Kurumbapalayam Channel
5,Ward 5,East,Starts from from Kurumbapalayam Channel towards south crossing Thangamman Kovil Road upto Kalapatti Road and Sentholtam Junction
5,Ward 5,South,Starts from from Kalapatti Road and Senthottam Junction towards west via 80 feet Scheme Road upto Vilankurichi Road towards South upto Saravanampatti Road Vilankurichi Road Junction then towards west upto Naga sai Temple Road then towards south upto Thatchan thottom to west upto Lakshimi garden
5,Ward 5,West,Starts from from Lakshmi Garden Saravanampatti Road towards North via Visuvasapuram Road Crossing Sathy Road upto Ragavi Garden.
6,Ward 6,North,"Starts from from Kalapatti Road Kurumbapalayam Road Junction towards East via Kurumbapalayam Pallam upto Ashok Nagar, Kaikolapalayam Junction"
6,Ward 6,East,"Starts from from Ashok Nagar, Kaikolapalayam Junction towards south via Muthamil Nagar, Karupparaxanpalayam upto Thottipalayam Temple"
6,Ward 6,South,"Starts from from Thottipalayam Temple towards west via Rajiv Gandhi Nagar, Elango Nagar upto Nehru Nagar kuttai towards west upto Kalapatti Road junction."
6,Ward 6,West,Starts from from Nehru nagar kuttai kalapatti Road Junction towards North via Eastern side of Naren Garden. Eastern side of JJ Nagar Crossing Kalapatti 4 Road Junction towards north upto Kurumbapalayam channel.
7,Ward 7,North,Starts from from Nehrunagar East towards east via Southen side of Nehru nagar kuttai towards North upto Elango nagar Junction via stalin veethi via Thottipalayam temple upto GKD Nagar.
7,Ward 7,East,Starts from from Lakshmi Nagar towards south via Chinniampalayam Boundary upto RG Pudur
7,Ward 7,South,Starts from from RG Pudur towards West via Avinashi Road upto SITRA Junction
7,Ward 7,West,Starts from from SITRA Junction towards North via Kalapatti Road upto Nehru Nagar East Junction.
8,Ward 8,North,Starts from from Kalapatti Road and Senthottam Junction towards East via Thangamman Kovil Road upto Kalapatti R
8,Ward 8,East,"Starts from Pfrom Thangamman Kovil Road upto Kalapatti Road Junction towards south Crossing Kalapatti Road, Vilankurichi Road Junction towards South via Kalapatti Road upto Ranga Triyam Bhava"
8,Ward 8,South,Starts from from Ranga Triyam Bhava Kalapatti Road towards west via Vilankurichi Road upto Sasi Avenue
8,Ward 8,West,"Starts from from Sasi Avenue towards North via Vilankurichi Road, Am Hagar Road then towardi; East then towardN-Jorth via Era Mohan Nagar upto Kalapad Road and Senthottam"
9,Ward 9,North,Starts from from Thatachan thottam towards East via Saravanampatti Road upto NR Kalyanamandapam then towards north upto Vilankurichi Road then towards East via 80 feet Scheme Road upto Senthottam Boundry
9,Ward 9,East,Starts from from Senthottam Boundry towards south via Ambethkar Nagar road upto Bankers Colony
9,Ward 9,South,Starts from from Bankers Colony towards west via Vilankurichi Road then towards North upto Southern side of RJ School Bridge then towards southwest via Vinayagapuram Road upto Annai Velankanni Nagar
9,Ward 9,West,Starts from from Annai Velankanni Nagar towards Northeast via Vinayagapuram upto Lakshmi Garden.
10,Ward 10,North,"Starts from Chinnavedampatti Village Boundary Road, towards East Sri Nagar Southern Boundary via upto Southnorth Canal, towards North including Sps Nagar and Ramanandha Nagar, Ramanandha Nagar Northern Boundary via towards East, Sri Ram Nagar South Boundary via upto Sathy Road saravanampatti Check Post, there onwardsNorth, Sathy Road Upa Sandhu via towards East including Boyar Street, Hospital Street upto Jaya Nagar Southern Boundary via towards East upto K.G. Layout Southern Boundary"
10,Ward 10,East,"Starts fro Kg Lay Out, towards South Crossing Kalapatti Road towards East Alagu Nagar via Govern,;nent Quarters Backside upto Amman Nagar Boundary towards South upto Vinayakapuram 8th Street."
10,Ward 10,South,"Starts from Vinayakapuram 8th Street, towards West Sri Vetri Vinayakar Nagar via Sathy Road, there onwardsNorth Chinnavedampatti Road via towards West upto Om Siva Sakthi Nagar."
10,Ward 10,West,"Starts from Chinnavedampatti Road Sathy Road Junction, Om Siva Sakthi Nagar onwardsNorth Amman Nagar via Crossing Canal, Bose Garden, there onwardsWest including Sri Sakthi Avenue, towards North including Meenatchi Nagar. Anna Nagar, towards East Scheme Road, there onwardsNorth Scheme Road via upto Vivekam School Southern Side Boundary."
11,Ward 11,North,"Starts from Gowmara Madalayam towards South Abutting Canal Excluding Amman Nagar, Om Sivasakthi Nagar towards East Chinnavedampatti Road via upto Sathy Road Junction."
11,Ward 11,East,"Starts from Chinnavedampatti Roadsathy Road Junction, towards South Along Sathy Road, Crossing Gowmara Madalayam Entrance Arch upto Sivananthapuram 2nd Street."
11,Ward 11,South,"Starts from Sivanandapuram 2nd Street towards West upto Sarathi Store, upto Sakthi Nagar Eastern Part."
11,Ward 11,West,"Starts from Sakthi Nagar East Part, towards North Anandha Nagar, Velmurugan Nagar via Crossing Chinnavedampatti Road, Sri Sundarasamy Road via Janatha Nagar West, Nethaji Nagar Western Boundary via upto Gowmara Madalayam."
12,Ward 12,North,"Starts from Chinnavedampatti Pond Northwest Boundary, towards Eas: 3- , 2′.sc Global Village via upto Athipalayam Road."
12,Ward 12,East,"Starts from Srivatsa Global Village Road Athipalayam Main Road Junction, ‘.”.’es:ern Side, towards South Chinnavedampatti Division Office via upto Maniakar3 :2 e,,er Road Athipalayam Road Junction."
12,Ward 12,South,"Starts from Maniyakaranpalayam Road A hipalayam Road Junc,1or :r ;,a ::isVvest Kakkanji Street, Elango Street, Bharathi Street via upto Maniakaranpalayar· =:_., S::c"
12,Ward 12,West,"Starts from Maniyakaranpalayam Bus Stop tOWdrds North Udayar Road. including Corporation Middle School, Crossing Mariamman Temple. La-..s:r- Nagar, Western Boundary via towards North Sindhu Nagar Road via upto Anjiga, 39ar Over Head Tank, there onwardsEast Anjugam Nagar Main Roadr upto Chinnavedampatti Pond Northwest Boundary."
13,Ward 13,North,"Starts from Mtp Road Gn Mills Junction, towards East Crossing Ra … : . :..,ne, via Urumandampalayam Ponds Northern Boundary, including Thiru Vee ·"
13,Ward 13,East,"Starts from Sindhu Nagar Southeast Boundary, towards South, Laks,-,,,,. · ;2, i?r Western Boundary via Crossing Udayampalayam Mariamman Kovil, towa,c:s s.:_: Crossing Subbanayakenpudur upto Chinnavedampatti Village Boundary."
13,Ward 13,South,"Starts from Chinnavedampatti Village Boundary, towards West incluc1ng Anbu Nagar, Vijaya Nagar, Balaji Nagar, Manickavasagar Nagar, then towards Nor.r •: a- ,:;kavasagar Nagar Main Road, towards West Amirtha School’s Northern Boundary • a :c .•,arcs West, including Adhirshta Lakshmi Garden, Then Crossing Mettupalayam Rea:. … to Sakthi Nagar Boundary,"
13,Ward 13,West,"Starts from Mettupalayam Road including Sakthi Nagar, towards EEs: Sm;thside Boundary Of Government Womens lti Junction, towards North upto G.N. -.t ·s – c:ion."
14,Ward 14,North,"Starts from Mettupalayam Roadchinnavedampatti Canal Abutting, to-.\ar-::; ::es: Railway Track there onwards, towards North V.PV Nagar Boundary •””le,r::- : – ,•, a•csEast Vellakinar Saravanampatti Road via Vcv School, there onwards So_+= :: _._ 5;:a!””lman"
14,Ward 14,North,"Kovil Public Toilet Back Side via upto Pond, there onwardsEas, uptc Pe–_.?. – ::-:ari."
14,Ward 14,East,"Starts from Periya Thottam, towards Southwest upto N.G. Pudur Junc!’ori"
14,Ward 14,East,"Starts from N.G. Pudur Urumandampalayam Junction, tcwarcs :. e : Crossing"
14,Ward 14,South,"Urumandampalayam Railway Track, Kongunadu College via Cross “9 ‘.’e:-:c,palayam Road upto G,N, Mills Bus Stop."
14,Ward 14,South,"Starts from Gn Mills Bus Stop, Mettupalayam Road via towards Ncr:n S””,a::, Residency"
14,Ward 14,West,"Srivatsa Enclave, including Aditya Residency upto Selva \,:;13:_-.·a•.2· “\ lil. there onwardsNorth Murugan Nagar via towards West, Karthik .A.ver,;_e .”‘ Gurusami Nai;;ar Boundary, there onwardsEast Vkl Nagar Main Road via ;,ptc P- 1 a,- ,:;–;:;aia Tower, there onwardsNorth Mettupalayam Road via l:jfl)io Chinnavecarrpa:-: :::C–"
15,Ward 15,North,"Starts from Kanuvai Sanganoor Pallam ridge, towards East Thotta Salai via Srinivasa Nagar, Swathi Garden Boundary via Rajalakshmi Nagar, including Thirupathi Nagar,Dhamu Garden via upto Subramaniampalayam Priya Hostel."
15,Ward 15,East,"Starts from Subramaniampalayam Priya Hostel, towards South Ganesh Nagar, Mkg Lay Out via upto Government lti."
15,Ward 15,South,"Starts from Government lti, towards West, Vivek Nagar, Mana! Thottam. A1antha Nagar Subramaniyam Palayam, Burial Ground Boundary via Sakthi Avenue, Thirumalai Garden, Jmv Garden via Kng Pudur upto Kanuvai Sanganoor Pallam Bridge."
15,Ward 15,West,"Starts from Kng Pudur Bridge, Kng Pudur Mariamman Koil via Pichanda Gounder Thottam via Kanuvaisanganoor Pallam Boundary upto Yuvabharathi School."
16,Ward 16,North,"Starts from K.N.G, pudur running towards west through Sri Vari Garden, M.GR Nagar ends up to KasiNanajeGounderPudurSanganoorPallam."
16,Ward 16,East,"Starts from SommayampalayamPanchayat boundary running towards north through PeriyannaNagar,Luna Nagar, Ganesh Nagar and Raj Garden ends up to K.N.G.Pudur."
16,Ward 16,South,"Starts frnm Saogaooo,Pallam ruoafog to=cds so,th thrn”gh Laod Mact< Ctty. Ad,aofl Nagar, Sabari Garden, Saravana Nagar and T.V.S Nagar road and ends uptoK marajNagar,Church Road (Thadagam Road)."
16,Ward 16,West,Starts from church road running towards uptoSomayampalayamPanchayat boundary east through ThatsunThottam ends
17,Ward 17,North,Starts from Mullai Nagar running towards west through I.T Nagar. Thenurcil Nagar and Cheran Nagar ends up to Mettupalayam Roads.
17,Ward 17,East,"Starts from Nataraj Nagar, Kanya Nagar, and Co-Operative Colony running towards north through SanganoorPallam ends up to Mullai Nagar"
17,Ward 17,South,"Start from Union Road running towards east through Ashok Nagar, Kanna;nmal Nagar, Prem Avenue, T.V.S Nagar, Ram Nagar and Devi Garden and ends up to Nataraj Nagar."
17,Ward 17,West,Starts from Mettupalayam road running towards south ends up to Union Road.
18,Ward 18,North,Starts from Existing Coimbatore North Assembly Constituency’s Northern Boundary and upto Vellakinar Chinnavedampatti Village’s Southern Boundary.
18,Ward 18,East,"Starts from The Junction Of Nallampalayam Road and Ganapathy, Sanganoor Village Boundary towards South Along Ganapathy Village Boundary upto Rajiv Gandhi Road."
18,Ward 18,South,"Starts from Ganapathy Village Boundary and Rajiv Gandhi Road Junction, towards West Rajiv Gandhi Road via Nallampalayam Road, there onwards South Sanganoor Road, there onwards West S.P. Kannusami Main Road Northern Boundary (Saranganoor Road) via Crossing Railway Track upto Mettupalayam Main Road."
18,Ward 18,West,"Starts from Mettupalayam Road, Compost Yard Bridge, towards North Along Mettupalayam Road (Eastern Part) Crossing Railway Quarters upto Vellakinar Village Boundary."
19,Ward 19,North,"Starts from Udayampalayam Roadcamford School, towards South Bharathiar Road via Maniakaranpalayam, there onwardsEast Ravindranath Tagore Road via Crossing Athipalayam Road Junction upto Sathy Road Junction."
19,Ward 19,East,"Starts from Sathy Road (Rama Krishna Mill) Junction, towards South Crossing Aihipalayam Road Junction, via Sathy Road, upto Anna Nagar Junction (Surya Hospital)."
19,Ward 19,South,"Starts from Sathy Road Anna Nagar Junction ( Surya Hospital) towards West Maniyakaranpalayam Road via Abirami Nagar. Kandasami Nagar, Karpaga Vinayakar Nagar, there onwards Abutting Canal towards West Rajiv Gandhi Road via upto Balamurugan Nagar Boundary."
19,Ward 19,West,"Starts from Balamurugan Nagar Abutting Canal towards North Maniakaranp,liayam Burial Ground, Saratha Garden, Elango Nagar. Nehru Nagar via Crossing Sankaralinganar Road, via Aranmanai Thottam, upto Udayarnpalayam Road Camford School."
20,Ward 20,North,"Starts from Sathy Road Ramakrishna Mill Junction, towards North including Nalli Mudaliyar Lay Out, Crossing Sathy Road, towards East Vilankurichi Road. via Ganapathy r-.:1aanagar upto Block I Eastern Boundary (upto Ellai Amman Kovil)."
20,Ward 20,East,"Starts from Vilankurichi Roadganapathy Maa Nagar Eastern Boundary (Ellai Amman Kovil) towards South, via Ganapathy Village Boundary, upto Ganapathy Maanagar 3rd Block Southern Boundary."
20,Ward 20,South,"Starts from Ganapathy Maanagar 3rd Block Southern Boundary towards West, via Ganapathy Maanagar 4th Block, Om Sakthi Nagar Extension, Crossing Police Quarters Road, Abutting K.K. Nagar Eastern Boundary, Thendral Nagar, Fci Colony, via Balu Garden, Reaching Fci Road, Crossing Fci Godown Gate, towards North. Air Nagar. Yogiram Nagar, including Bpc Colony, Subash Nagar via Fci Road Bothsides upto Sathy Road Junction, Ganesh Garden via Reaching Athipalayam Road Junction. Then towards East Om Parasakshi Mill Road. Parasakthi Naga,, K. Kamaraj Nagar, via V.G.Rao Nagar Phase Ii Part, Then towards West I<.R.G. Nagar. K.P.G. Nagar, Vaikkal, Crossing Kannimar Nagar, pto Sakthi Road Maniyakaranpalayam Road Junction."
20,Ward 20,West,"Starts from Sathy Roadmaniakaranpalayam Road Junction (Includes Sathy Road), Sathy Road via towards Nolih Crossing Athipalayam Road Junction, upto Sathy Road Ramakrishna Mill Junction."
21,Ward 21,North,"Starts from Elango Street Sarathi Stores, towards East Sivanandapurarn 1 Street via Saihy Road, there onwardsNorth Sri Vetri Vinayakar Nagar via towards East upto Vinayakapuram 8th Street, upto Saravanampatti Village Boundary."
21,Ward 21,East,"Starts from Vinayakapuram 8th Street (Saravanampatti Village Boundary), towards South Sundaram Street, Eastern Boundary via upto Vilankurichi Road."
21,Ward 21,South,"Starts from Sundaram Street Vilankurichi Road Junction, towards West Crossing Sathy Road, towards North, via Lgb Nagar upto Saravanampatti Village Boundary."
21,Ward 21,West,"Starts from Saravanampatti Village Boundary, via Thiruvalluvar Street Western Boundary, towards North via Elango Street, towards East upto Sarathi Store."
22,Ward 22,North,From Sivaram Nagar towards East via Vinayagapuram Road upto Bridge near Southern Side of RJ School
22,Ward 22,East,From Bridge near Southern Side of RJ School upto Vilankurichi Main Road then towards East upto Kanchimaa Nagar then towards South upto Sasi West Avenue
22,Ward 22,South,"From Sasi West Avenue towards West via Southern Boundary of Sasi West Avenue, Kumutham Nagar Crossing Vilankurichi Road then towards West upto West End of Udhaya Nagar"
22,Ward 22,West,From West End of Udhaya Nagar towards North via West Boundary of Udhaya Nagar upto Sivaram Nagar
23,Ward 23,North,From Sasi Avenue towards East via Texpark Road upto Kalapatti Road Junction towards South upto SITRA Avinashi Road Junction then towards NorthEast via Nortl1ern Boundary of Avinashi Road upto RG Pudur
23,Ward 23,East,From RG Pudur towards south via Eastern side of GKR Nagar and Airport then towards south upto lrugur Town Panchayat Boundry
23,Ward 23,South,From lrugur Town Panchayat Boundary towards West via upto Southwest End of Airport Boundary.
23,Ward 23,West,From West End of Udhaya Nagar towards North via West Boundary of Udhaya Nagar upto Sivaram Nagar
24,Ward 24,North,"From Gowthamapuri Nagar Channel towards East via lndt,u Maa Nagar Corssing Vilankurichi Road towards East via Shanthi Farms upto NRI Garden"
24,Ward 24,East,From NRI Garden towards South via CODISSIA Road Crossing Avinashi Road towards Souih upto Southf;ast Corner of Govt.poly Tech Compound Wall
24,Ward 24,South,"From SouthEast Corner of Govt. Polytechnic Compund Wall towards West via Jaganathan Nagar, Railway Line Crossing Kamarajar Road via Avinashi Road towards west upto Argus Nagar then towards South via Argus Nagar and Sothern Boundary of Kalyanasundaram Street, Sasthiri Street, voe Street, Bharathi Street, Nehru Street upto Funmall Road Junction."
24,Ward 24,West,"From Fun Mall Road and Nehru Street Junction towards North via Funmall upto Avinashi Road then towards East via Southern Boundary of Avinashi Road towards East upto Masakalipalayam Road Junction and Crossing Avinashi Road towards North via Thanneer Pandhal Road towards West Crossing Anna ma Nagar, Jai Nagar then towards North Telecom Colony Crossing Vilankurichi Road upto Gowthamapuri Channel"
25,Ward 25,North,"Starts from Sundaram Garden Western Boundary. towards East Annai Velankanni Nagar, Kristhuraj Nagar, Vetri Vinayakar Nagar Extension via upto Tamil Nadu Housing Board."
25,Ward 25,East,"Starts from Tamil Nadu Housing Board Quarters, towards South Kongu Nagar, Gandhj Maanagar Eastern Boundary onwards. towards South Uzhagazhandha, Thrumal Kovil, Corporation Sewage Motor Room via upto Gandhi Maanagar Police Station"
25,Ward 25,South,"Starts from Gandhi Maanagar Police Station, towards West Gandhi Maanagar Bus Terminal via Fci Road via upto Balu Garden."
25,Ward 25,West,"Starts from Fci Road Balu Garden Junction, towards North Police Quarters via Abutting K.K. Nagar East Boundary, Crossing Police Quarters Road, upto Sundaram Garden Northern Boundary"
26,Ward 26,North,"Starts from Fci Road Sriram Nagar Western Boundary. towards East. Conapathytnhb Hudco Colony, upto Canal’s Eastern Boundary."
26,Ward 26,East,"Starts from Ganapathytnhb Hudco Colony, upto Canal’s Eastern Boundary. towards South via Canal, including Corporation Garbage Transfer Station, Crossing V.K. Road, towards South, Cape Neem Land, Industrial Estate, Balaguru Garden.via Pkc! Nagar, upto Avinashi Road Junction."
26,Ward 26,South,"Starts from Pkd Nagar Avinashi Road Junction, towards West Avinashi Road North Side upto Vilankurichi Road Junction."
26,Ward 26,West,"Starts from Avinashi Road Vilankurichi Road Junction. towards North via Ad Colony, V.R. Lay Out, via Black Mariamman Kovil. Crossing Railway Line, via Ganapathytnhb, Hudco Colony Western Boundary, Crossing Murugan Nagar. upto Sriram Nagar Western Boundary Fci Road Junction."
27,Ward 27,North,"Starts from Prp Garden Northwest Boundary. towards East Abutting Railway Line. Crossing Peelamedu Railway Station, via Giriamman Kovil Street, V.K. Roao Junction"
27,Ward 27,East,"Starts from V.K. Road Flyover, towards South, upto Avinashi Road Junction."
